date,stablecoin_circulating_usd,stablecoin_change_7d_pct,all_chain_tvl_usd,all_chain_tvl_change_7d_pct,source
2021-01-01,27375658126,,15331239392,,defillama_public_aggregate_lag1
2021-01-02,28273706662,,15591299800,,defillama_public_aggregate_lag1
2021-01-03,29253311943,,16214121845,,defillama_public_aggregate_lag1
2021-01-04,29421759680,,17677186292,,defillama_public_aggregate_lag1
2021-01-05,29278125285,,18930185759,,defillama_public_aggregate_lag1
2021-01-06,30082707424,,20589425585,,defillama_public_aggregate_lag1
2021-01-07,31125447521,,21354585247,,defillama_public_aggregate_lag1
2021-01-08,31205749318,13.99086435,22010129551,43.56392845,defillama_public_aggregate_lag1
2021-01-09,32056057167,13.37762519,22200304178,42.38905327,defillama_public_aggregate_lag1
2021-01-10,32342791893,10.56112879,22447532642,38.44433178,defillama_public_aggregate_lag1
2021-01-11,32265050108,9.66390338,21929696717,24.05648928,defillama_public_aggregate_lag1
2021-01-12,32277903447,10.24580001,20202214971,6.71958125,defillama_public_aggregate_lag1
2021-01-13,32566525810,8.2566318,20845529247,1.24386016,defillama_public_aggregate_lag1
2021-01-14,32637676033,4.85849564,21312476375,-0.1971889,defillama_public_aggregate_lag1
2021-01-15,32643280328,4.60662231,21558342039,-2.0526345,defillama_public_aggregate_lag1
2021-01-16,32786523404,2.27871517,22026765353,-0.78169571,defillama_public_aggregate_lag1
2021-01-17,33013894956,2.07496949,22443665022,-0.0172296,defillama_public_aggregate_lag1
2021-01-18,32988630915,2.24261486,22671333424,3.3818831,defillama_public_aggregate_lag1
2021-01-19,33542943279,3.91921314,23296811919,15.31810721,defillama_public_aggregate_lag1
2021-01-20,33588749567,3.13887875,24289078073,16.51936387,defillama_public_aggregate_lag1
2021-01-21,33767194674,3.46078146,23101750426,8.39543007,defillama_public_aggregate_lag1
2021-01-22,33816917907,3.59534203,21829723345,1.25882271,defillama_public_aggregate_lag1
2021-01-23,34070284632,3.91551496,23000758277,4.4218609,defillama_public_aggregate_lag1
2021-01-24,34120643812,3.35237286,24074914577,7.26819596,defillama_public_aggregate_lag1
2021-01-25,34279281923,3.91241156,25493160644,12.44667513,defillama_public_aggregate_lag1
2021-01-26,34222369790,2.02554232,25674880297,10.20769875,defillama_public_aggregate_lag1
2021-01-27,34732159954,3.40414693,25220831940,3.83610224,defillama_public_aggregate_lag1
2021-01-28,35415385053,4.8810403,24887717571,7.73087369,defillama_public_aggregate_lag1
2021-01-29,36040572347,6.57556802,26269142482,20.33657993,defillama_public_aggregate_lag1
2021-01-30,36551703484,7.28323487,27252744767,18.48628832,defillama_public_aggregate_lag1
2021-01-31,36629455491,7.35276771,27130757018,12.69305622,defillama_public_aggregate_lag1
2021-02-01,37167703961,8.42614511,27109267608,6.33937465,defillama_public_aggregate_lag1
2021-02-02,37086696036,8.36974839,27888564501,8.62198452,defillama_public_aggregate_lag1
2021-02-03,35663097749,2.68033372,30955207856,22.7366644,defillama_public_aggregate_lag1
2021-02-04,38242784718,7.98353501,32932559509,32.3245469,defillama_public_aggregate_lag1
2021-02-05,38765375111,7.56037595,34304841966,30.58988122,defillama_public_aggregate_lag1
2021-02-06,39983126144,9.38785975,35716804965,31.05764308,defillama_public_aggregate_lag1
2021-02-07,40081733742,9.42486915,35392596883,30.45193269,defillama_public_aggregate_lag1
2021-02-08,41494705769,11.64183242,35702998832,31.7003445,defillama_public_aggregate_lag1
2021-02-09,41832015214,12.79520606,38099626760,36.61379652,defillama_public_aggregate_lag1
2021-02-10,43063490614,20.75084144,39643074638,28.0659294,defillama_public_aggregate_lag1
2021-02-11,43411624696,13.51585669,40886651706,24.15266932,defillama_public_aggregate_lag1
2021-02-12,43642979052,12.58237261,41886194682,22.0999494,defillama_public_aggregate_lag1
2021-02-13,44805054278,12.05990776,41684780963,16.70915415,defillama_public_aggregate_lag1
2021-02-14,45273122444,12.95200636,41412539981,17.00904604,defillama_public_aggregate_lag1
2021-02-15,45318287216,9.2146248,41782214628,17.02718538,defillama_public_aggregate_lag1
2021-02-16,45778782256,9.43480017,41581299519,9.13833823,defillama_public_aggregate_lag1
2021-02-17,46681235565,8.40095612,42272005078,6.63149986,defillama_public_aggregate_lag1
2021-02-18,46840234398,7.8979069,43232124414,5.73652429,defillama_public_aggregate_lag1
2021-02-19,47471759076,8.77295755,44771134181,6.88756647,defillama_public_aggregate_lag1
2021-02-20,49109402708,9.60683677,46707174505,12.0485065,defillama_public_aggregate_lag1
2021-02-21,49566655523,9.48362482,48100165971,16.14879453,defillama_public_aggregate_lag1
2021-02-22,49555991966,9.35098171,47683207268,14.12321652,defillama_public_aggregate_lag1
2021-02-23,49998356144,9.21731352,43607600318,4.87310599,defillama_public_aggregate_lag1
2021-02-24,49999448699,7.10823759,40169071348,-4.97476693,defillama_public_aggregate_lag1
