date,coin,news_count,pos,neu,neg,mean_sentiment
2017-08-17,BTC,6,0,6,0,0
2017-08-17,ETH,1,0,1,0,0
2017-08-18,BTC,7,0,7,0,0
2017-08-18,ETH,2,0,2,0,0
2017-08-19,BTC,4,0,4,0,0
2017-08-19,ETH,1,0,1,0,0
2017-08-20,BTC,1,0,1,0,0
2017-08-21,BTC,3,0,3,0,0
2017-08-22,BTC,5,0,5,0,0
2017-08-22,ETH,1,0,1,0,0
2017-08-23,BTC,5,0,5,0,0
2017-08-23,ETH,3,0,3,0,0
2017-08-24,BTC,9,0,9,0,0
2017-08-24,ETH,1,0,1,0,0
2017-08-25,BTC,4,0,4,0,0
2017-08-25,ETH,3,0,3,0,0
2017-08-26,BTC,3,0,3,0,0
2017-08-26,ETH,1,0,1,0,0
2017-08-28,BTC,3,0,3,0,0
2017-08-29,BTC,2,0,2,0,0
2017-08-29,ETH,3,0,3,0,0
2017-08-30,BTC,2,0,2,0,0
2017-08-30,ETH,1,0,1,0,0
2017-08-31,BTC,2,0,2,0,0
2017-08-31,ETH,1,0,1,0,0
2017-09-01,BTC,5,0,5,0,0
2017-09-01,ETH,1,0,1,0,0
2017-09-02,BTC,1,0,1,0,0
2017-09-03,BTC,3,0,3,0,0
2017-09-03,ETH,1,0,1,0,0
2017-09-04,BTC,3,0,3,0,0
2017-09-04,ETH,1,0,1,0,0
2017-09-05,BTC,2,0,2,0,0
2017-09-06,ETH,1,0,1,0,0
2017-09-07,BTC,1,0,1,0,0
2017-09-07,ETH,1,0,1,0,0
2017-09-08,BTC,2,0,2,0,0
2017-09-08,ETH,1,0,1,0,0
2017-09-09,BTC,3,0,3,0,0
2017-09-09,ETH,4,0,4,0,0
2017-09-10,BTC,1,0,1,0,0
2017-09-10,ETH,1,0,1,0,0
2017-09-11,BTC,3,0,3,0,0
2017-09-12,BTC,3,0,3,0,0
2017-09-12,ETH,2,0,2,0,0
2017-09-13,BTC,5,0,5,0,0
2017-09-13,ETH,1,0,1,0,0
2017-09-14,BTC,4,0,4,0,0
2017-09-14,ETH,2,0,2,0,0
2017-09-15,BTC,7,0,7,0,0
2017-09-15,ETH,2,0,2,0,0
2017-09-16,BTC,1,0,1,0,0
2017-09-16,ETH,1,0,1,0,0
2017-09-17,ETH,1,0,1,0,0
2017-09-18,BTC,6,0,6,0,0
2017-09-18,ETH,1,0,1,0,0
2017-09-19,BTC,5,0,5,0,0
2017-09-19,ETH,2,0,2,0,0
2017-09-20,BTC,4,0,4,0,0
2017-09-20,ETH,1,0,1,0,0
2017-09-21,BTC,2,0,2,0,0
2017-09-21,ETH,2,0,2,0,0
2017-09-22,BTC,7,0,7,0,0
2017-09-22,ETH,2,0,2,0,0
2017-09-23,BTC,3,0,3,0,0
2017-09-23,ETH,1,0,1,0,0
2017-09-24,BTC,2,0,2,0,0
2017-09-24,ETH,2,0,2,0,0
2017-09-25,BTC,5,0,5,0,0
2017-09-26,BTC,3,0,3,0,0
2017-09-26,ETH,2,0,2,0,0
2017-09-27,BTC,6,0,6,0,0
2017-09-27,ETH,1,0,1,0,0
2017-09-28,BTC,5,0,5,0,0
2017-09-28,ETH,3,0,3,0,0
2017-09-29,BTC,5,0,5,0,0
2017-09-29,ETH,4,0,4,0,0
2017-09-30,BTC,2,0,2,0,0
2017-09-30,ETH,1,0,1,0,0
2017-10-01,BTC,1,0,1,0,0
2017-10-01,ETH,1,0,1,0,0
2017-10-03,BTC,1,0,1,0,0
2017-10-03,ETH,1,0,1,0,0
2017-10-04,BTC,3,0,3,0,0
2017-10-04,ETH,3,0,3,0,0
2017-10-05,BTC,2,0,2,0,0
2017-10-05,ETH,1,0,1,0,0
2017-10-06,BTC,6,0,6,0,0
2017-10-06,ETH,1,0,1,0,0
2017-10-07,BTC,3,0,3,0,0
2017-10-07,ETH,3,0,3,0,0
2017-10-09,BTC,3,0,3,0,0
2017-10-09,ETH,2,0,2,0,0
2017-10-10,BTC,5,0,5,0,0
2017-10-10,ETH,2,0,2,0,0
2017-10-11,BTC,8,0,8,0,0
2017-10-11,ETH,5,0,5,0,0
2017-10-12,BTC,13,0,13,0,0
2017-10-12,ETH,5,0,5,0,0
2017-10-13,BTC,6,0,6,0,0
2017-10-13,ETH,3,0,3,0,0
2017-10-14,BTC,3,0,3,0,0
2017-10-14,ETH,3,0,3,0,0
2017-10-15,ETH,1,0,1,0,0
2017-10-16,BTC,3,0,3,0,0
2017-10-16,ETH,5,0,5,0,0
2017-10-17,BTC,5,0,5,0,0
2017-10-17,ETH,4,0,4,0,0
2017-10-18,BTC,3,0,3,0,0
2017-10-18,ETH,7,0,7,0,0
2017-10-19,BTC,2,0,2,0,0
2017-10-19,ETH,3,0,3,0,0
2017-10-20,BTC,5,0,5,0,0
2017-10-20,ETH,2,0,2,0,0
2017-10-21,BTC,4,0,4,0,0
2017-10-22,ETH,1,0,1,0,0
2017-10-23,BTC,4,0,4,0,0
2017-10-23,ETH,1,0,1,0,0
2017-10-24,BTC,9,0,9,0,0
2017-10-24,ETH,1,0,1,0,0
2017-10-25,BTC,8,0,8,0,0
2017-10-25,ETH,2,0,2,0,0
2017-10-26,BTC,8,0,8,0,0
2017-10-26,ETH,6,0,6,0,0
2017-10-27,BTC,9,0,9,0,0
2017-10-27,ETH,1,0,1,0,0
2017-10-28,BTC,5,0,5,0,0
2017-10-28,ETH,1,0,1,0,0
2017-10-30,BTC,6,0,6,0,0
2017-10-30,ETH,2,0,2,0,0
2017-10-31,BTC,11,0,11,0,0
2017-10-31,ETH,2,0,2,0,0
2017-11-01,BTC,9,0,9,0,0
2017-11-01,ETH,3,0,3,0,0
2017-11-02,BTC,9,0,9,0,0
2017-11-02,ETH,4,0,4,0,0
2017-11-03,BTC,7,0,7,0,0
2017-11-03,ETH,3,0,3,0,0
2017-11-04,BTC,2,0,2,0,0
2017-11-04,ETH,2,0,2,0,0
2017-11-05,BTC,3,0,3,0,0
2017-11-06,BTC,6,0,6,0,0
2017-11-06,ETH,3,0,3,0,0
2017-11-07,BTC,10,0,10,0,0
2017-11-07,ETH,4,0,4,0,0
2017-11-08,BTC,8,0,8,0,0
2017-11-08,ETH,2,0,2,0,0
2017-11-09,BTC,10,0,10,0,0
2017-11-09,ETH,4,0,4,0,0
2017-11-10,BTC,8,0,8,0,0
2017-11-10,ETH,1,0,1,0,0
2017-11-11,BTC,7,0,7,0,0
2017-11-11,ETH,3,0,3,0,0
2017-11-12,BTC,2,0,2,0,0
2017-11-12,ETH,1,0,1,0,0
2017-11-13,BTC,8,0,8,0,0
2017-11-13,ETH,2,0,2,0,0
2017-11-14,BTC,12,0,12,0,0
2017-11-15,BTC,9,0,9,0,0
2017-11-15,ETH,3,0,3,0,0
2017-11-16,BTC,10,0,10,0,0
2017-11-16,ETH,4,0,4,0,0
2017-11-17,BTC,13,0,13,0,0
2017-11-17,ETH,2,0,2,0,0
2017-11-18,BTC,7,0,7,0,0
2017-11-18,ETH,2,0,2,0,0
2017-11-19,BTC,4,0,4,0,0
2017-11-19,ETH,1,0,1,0,0
2017-11-20,BTC,14,0,14,0,0
2017-11-20,ETH,3,0,3,0,0
