timestamp_ms,open,high,low,close,volume
1666137600000,7.999,8.595,6.564,7.3,347173539.6999999881
1666224000000,7.301,7.74,6.9,7.357,147099164.900000006
1666310400000,7.357,7.68,6.981,7.49,123913199.5
1666396800000,7.49,9.28,7.333,8.937,229428158
1666483200000,8.937,10.2,8.851,9.754,388443586.1000000238
1666569600000,9.754,9.962,9.224,9.52,224086175.3000000119
1666656000000,9.52,9.555,8.512,8.775,204121343.8000000119
1666742400000,8.775,9.28,8.601,9.191,156974817
1666828800000,9.191,9.63,8.58,8.698,134977354.5
1666915200000,8.698,8.826,7.922,8.173,132186233.200000003
1667001600000,8.174,8.367,7.586,7.952,97029881.200000003
1667088000000,7.95,8.384,7.588,7.796,73307527.299999997
1667174400000,7.796,8.219,7.656,7.927,66278031.8999999985
1667260800000,7.928,8.318,7.81,8.188,72946418.799999997
1667347200000,8.191,8.206,7.087,7.37,81809434.700000003
1667433600000,7.37,7.559,7.161,7.227,39734281.3999999985
1667520000000,7.227,7.785,7.154,7.65,44140453.6000000015
1667606400000,7.651,7.999,7.512,7.62,47260279.3999999985
1667692800000,7.621,8.228,7.216,7.304,96953189.099999994
1667779200000,7.303,7.459,6.79,6.998,62905652.700000003
1667865600000,6.998,7.02,4.462,5.368,125177189.5
1667952000000,5.368,5.383,3.437,3.9441,123170924.400000006
1668038400000,3.9448,5.483,3.8359,5.1515,100259381.5
1668124800000,5.151,5.3449,4.463,5.18,59087551.6000000015
1668211200000,5.1793,5.1829,4.4254,4.543,32735158.6000000015
1668297600000,4.5426,4.615,4.1107,4.2162,36186656.799999997
1668384000000,4.2164,4.5105,3.752,4.1905,48518191.6000000015
1668470400000,4.19,4.714,4.1072,4.3344,44740285.299999997
1668556800000,4.3344,4.9666,4.151,4.4966,92938739.099999994
1668643200000,4.4971,4.85,4.3503,4.6575,90241437.099999994
1668729600000,4.6579,4.9269,4.5114,4.716,53395487.1000000015
1668816000000,4.7159,4.7699,4.5,4.6212,24752078.8000000007
1668902400000,4.6189,4.634,4.0267,4.0982,27528922.1000000015
1668988800000,4.0983,4.1475,3.8557,4.0603,36100488.799999997
1669075200000,4.0612,4.521,3.8509,4.3146,38263673.700000003
1669161600000,4.3149,4.597,4.239,4.438,29788386.8000000007
1669248000000,4.438,4.7313,4.2221,4.4358,39926594
1669334400000,4.4355,4.5525,4.2517,4.4247,27920332.1999999993
1669420800000,4.4246,5.037,4.4036,4.7656,68705267.900000006
1669507200000,4.7643,5.0277,4.6041,4.7916,36960327.6000000015
1669593600000,4.7906,4.7918,4.2939,4.4746,32149916.1000000015
1669680000000,4.4735,4.799,4.4101,4.6698,27265331.6000000015
1669766400000,4.6693,4.8798,4.535,4.7675,25020703.6000000015
1669852800000,4.7675,4.7883,4.572,4.65,16241139.1999999993
1669939200000,4.6512,5.0608,4.5038,4.8975,33701145.6000000015
1670025600000,4.8976,5.2413,4.8715,5.1106,92549196
1670112000000,5.1109,5.37,5.0505,5.1789,63522210
1670198400000,5.1789,5.4279,5,5.1577,49667507.3999999985
1670284800000,5.1577,5.4199,4.8463,5.0422,35919926.6000000015
1670371200000,5.0417,5.0523,4.58,4.8146,29158584.3000000007
1670457600000,4.8145,4.9402,4.6813,4.9137,24805113.6000000015
1670544000000,4.9136,4.9478,4.7264,4.804,15753537.4000000004
1670630400000,4.8039,4.838,4.7534,4.7792,8718873.8000000007
1670716800000,4.7794,4.9,4.608,4.66,14917400.8000000007
1670803200000,4.6599,4.7095,4.3,4.523,20566719.6999999993
1670889600000,4.5235,4.6675,4.2711,4.6217,24165463.5
1670976000000,4.6207,4.7539,4.4688,4.696,21632914.1999999993
1671062400000,4.6963,4.7931,4.502,4.6641,31486869.1000000015
1671148800000,4.6634,4.7414,3.9603,4.0409,29279140.8000000007
1671235200000,4.0407,4.1466,3.9501,4.0854,20127618.8000000007
1671321600000,4.0855,4.1025,3.9676,4.0483,11914321.4000000004
1671408000000,4.0482,4.1394,3.6611,3.8027,30354171.3999999985
1671494400000,3.8029,3.9292,3.7815,3.8921,22229072.3999999985
1671580800000,3.8924,3.9039,3.674,3.7614,20020642.8999999985
1671667200000,3.7614,3.7836,3.562,3.7066,21752387.8999999985
1671753600000,3.7066,3.8096,3.6869,3.747,17509523
1671840000000,3.7461,3.7783,3.6615,3.6916,10748170.0999999996
1671926400000,3.6923,3.7186,3.5211,3.5756,19413712.3999999985
1672012800000,3.5755,3.6495,3.552,3.6439,15890050.1999999993
1672099200000,3.6433,3.67,3.5211,3.5953,17460357.6000000015
1672185600000,3.5952,3.6095,3.13,3.2296,44225911.1000000015
1672272000000,3.2296,3.2545,3.06,3.2054,33310509.3999999985
1672358400000,3.2057,3.5,3.1113,3.4143,50880940.799999997
1672444800000,3.4135,3.538,3.3205,3.4466,58357511.200000003
